source_id,ra,dec,theta_jet,r15,delta,theta_pred,residual_theta,logr15,failure_type,bin,geom_pred,I_BH,coupling,logr15_sq,regime,regime_bin,energy_proxy,res_abs
1730-130,263.26127,-13.08043,12.0,28.6,10.6,10.885840100817775,1.1141598991822228,1.4563660331290431,normal,7,115.38990922128689,115.38990922128689,15.437481,2.1210022,HIGH,1,115.3899050686684,1.1141598991822228
1749+096,267.88674,9.6502,34.2,4.8,11.9,23.69200655715474,10.507994205784712,0.6812412373755872,over_open,3,281.93486899235813,281.93486899235813,8.1067705,0.46408966,LOW,0,281.9348780301414,10.507994205784712
1803+784,270.19035,78.46778,21.8,10.0,12.1,18.42565800553888,3.374341231521665,1.0,normal,4,222.9504688958512,222.9504688958512,12.1,1.0,LOW,0,222.9504618670205,3.374341231521665
1807+698,271.71117,69.82447,10.6,13.8,1.1,16.1146557499443,-5.514655368474575,1.1398790864012365,normal,5,17.726121709142063,17.726121709142063,1.253867,1.2993244,HIGH,1,17.726121324938735,5.514655368474575
1823+568,276.02949,56.8504,8.1,9.0,6.3,19.181636679562125,-11.081636298092398,0.9542425094393248,over_collimated,4,120.84431473984824,120.84431473984824,6.0117283,0.9105788,LOW,0,120.8443110812414,11.081636298092398
1828+487,277.38219,48.74638,15.4,18.9,5.6,13.858114312927416,1.5418853056028574,1.276461804173244,normal,6,77.60543883078076,77.60543883078076,7.148186,1.6293548,HIGH,1,77.60544015239353,1.5418853056028574
1849+670,282.31697,67.09491,18.9,9.3,8.1,18.94636424953012,-0.0463646309998431,0.9684829485539352,normal,4,153.46555764865835,153.46555764865835,7.8447123,0.93795925,LOW,0,153.46555042119397,0.0463646309998431
1928+738,291.95206,73.9671,9.1,24.0,1.9,12.144026420593754,-3.0440260391240272,1.380211241711606,normal,7,23.07364990959198,23.07364990959198,2.6224012,1.904983,HIGH,1,23.07365019912813,3.0440260391240272
2121+053,320.93549,5.58947,26.3,3.6,15.2,25.756173404781915,0.5438258322786318,0.5563025007672873,normal,2,391.4938308400849,391.4938308400849,8.455798,0.30947247,LOW,0,391.4938357526851,0.5438258322786318
2134+004,324.1607,0.6984,17.0,3.9,16.0,25.181853230394253,-8.181853230394253,0.5910646070264992,normal,2,402.90965168630805,402.90965168630805,9.457034,0.3493574,LOW,0,402.90965168630805,8.181853230394253
2136+141,324.75546,14.39333,25.3,6.3,8.2,21.74083724224373,3.559161994816812,0.7993405494535817,normal,3,178.274861239663,178.274861239663,6.5545926,0.6389454,LOW,0,178.27486538639857,3.559161994816812
2145+067,327.02274,6.96072,18.0,2.9,15.5,27.307609528627257,-9.307609528627257,0.4623979978989561,over_collimated,2,423.2679476937225,423.2679476937225,7.167169,0.2138119,LOW,0,423.2679476937225,9.307609528627257
2200+420,330.68038,42.27777,24.8,11.7,7.2,17.29913128583163,7.500867951228916,1.0681858617461617,over_open,5,124.5537419584403,124.5537419584403,7.6909375,1.1410209,HIGH,1,124.55374525798774,7.500867951228916
2201+171,330.86206,17.43007,18.0,10.8,10.0,17.873449490711895,0.1265505092881049,1.0334237554869496,normal,5,178.73449490711894,178.73449490711894,10.334238,1.0679647,HIGH,1,178.73449490711894,0.1265505092881049
2201+315,330.8124,31.7606,13.2,8.0,6.6,20.02674934991008,-6.82674954064494,0.9030899869919436,normal,4,132.17654379950685,132.17654379950685,5.960394,0.81557155,LOW,0,132.17654570940653,6.82674954064494
2223-052,336.44691,-4.95039,13.1,6.0,15.9,22.09091521278355,-8.990914831313823,0.7781512503836436,over_collimated,3,351.24554345624307,351.24554345624307,12.372605,0.6055194,LOW,0,351.24555188325843,8.990914831313823
2227-088,337.41702,-8.54845,18.5,5.3,15.8,22.98101340161599,-4.481013401615989,0.724275869600789,normal,3,363.1000161288131,363.1000161288131,11.443559,0.52457553,LOW,0,363.10001174553264,4.481013401615989
2230+114,338.1517,11.7308,12.4,20.8,15.5,13.170797590577283,-0.77079797204701,1.3180633349627615,normal,6,204.14736265394788,204.14736265394788,20.429983,1.7372911,HIGH,1,204.14736265394788,0.77079797204701
2251+158,343.49062,16.14821,13.1,17.1,32.9,14.576230191972105,-1.476229810502378,1.2329961103921538,normal,6,479.5579955574444,479.5579955574444,40.565575,1.5202794,HIGH,1,479.55797331588224,1.476229810502378
