galaxy_id,slope_tail,n_tail_points,inc_deg,logM,Rmax,MHI,Rdisk,env_proxy,galaxy,delta_mass_std,F3_SCM,delta_f3,slope_tail_res_mass,delta_f3_res_mass
NGC7331,0.5818891922990171,27,75.0,11.146235386209623,5.02,11.067,5.02,-0.3573775415772068,NGC7331,-0.8545273970377066,0.5818891922990171,0.08188919229901714,-0.07336579671256349,-0.07336579671256327
ESO116-G012,0.553780794905135,5,74.0,9.554657514907792,1.51,1.083,1.51,-0.3233256284326587,ESO116-G012,-0.8204753106551523,0.553780794905135,0.05378079490513499,0.015815041806627406,0.015815041806627517
UGC08550,0.7000792077586493,6,90.0,8.722255395004163,0.45,0.288,0.45,0.1529653155497307,UGC08550,-0.3441824124855904,0.7000792077586493,0.2000792077586493,0.22345623302891898,0.22345623302891915
NGC6946,0.7159677133742306,57,38.0,10.608821167944376,2.44,5.67,2.44,-0.0211966667310796,NGC6946,-0.5183464664786861,0.7159677133742306,0.2159677133742306,0.10031675767180537,0.10031675767180548
NGC3198,0.5895735167563869,38,73.0,10.526278135797504,3.14,10.869,3.14,0.0423302485598912,NGC3198,-0.4548195800863644,0.5895735167563869,0.08957351675638692,-0.019994538859889444,-0.01999453885988911
UGC03205,0.7268390168506665,42,67.0,10.843179251275886,3.19,9.677,3.19,-0.0218406677421761,UGC03205,-0.5189904977584217,0.7268390168506665,0.22683901685066654,0.09391735072957885,0.09391735072957896
NGC4051,1.0026694372296583,5,49.0,10.709448137839988,4.65,2.697,4.65,-0.90402497941232,NGC4051,-1.4011748320211506,1.0026694372296583,0.5026694372296583,0.37960290945619746,0.37960290945619757
NGC5585,0.4513345601588027,10,51.0,9.56936103276835,1.53,1.683,1.53,-0.143298931183911,NGC5585,-0.6404486183535076,0.4513345601588027,-0.04866543984119731,-0.08771474933125523,-0.08771474933125512
NGC3769,0.5837446711671256,9,70.0,10.222536214537287,3.38,5.529,3.38,-0.315186848631214,NGC3769,-0.812336683310707,0.5837446711671256,0.08374467116712558,-0.0034395234381655593,-0.0034395234381654483
UGC03580,0.4199726161155899,32,63.0,10.094998390641171,2.43,4.37,2.43,-0.1307311837743482,UGC03580,-0.6278809829203363,0.4199726161155899,-0.08002738388441011,-0.15781284646124205,-0.15781284646124194
UGC08699,0.6959526176464947,35,73.0,10.478891589755571,3.09,3.738,3.09,-0.4072777072917649,UGC08699,-0.90442753450099,0.6959526176464947,0.19595261764649474,0.08987665115638355,0.08987665115638366
NGC0289,0.6228690317689176,22,46.0,10.86073480035797,6.74,27.469,6.74,-0.2184769532716352,NGC0289,-0.7156268164056233,0.6228690317689176,0.12286903176891761,-0.011346367429891036,-0.011346367429890925
UGC05253,0.7195040325550874,62,37.0,11.031802907259175,8.07,16.396,8.07,-0.5990091664683161,UGC05253,-1.0961590324938106,0.7195040325550874,0.21950403255508744,0.07268199442938372,0.07268199442938394
NGC5907,0.5800899743613406,12,88.0,11.06324232399044,5.34,21.025,5.34,-0.1323465248172292,NGC5907,-0.6294963822812969,0.5800899743613406,0.08008997436134058,-0.06904895019037682,-0.06904895019037649
UGC12506,0.9242127203201528,14,86.0,11.068464092263296,7.38,35.556,7.38,-0.1851998340923218,UGC12506,-0.682349698812541,0.9242127203201528,0.4242127203201528,0.2746889844300261,0.2746889844300263
NGC3893,0.6623390155734739,7,49.0,10.56791017942058,2.38,5.799,2.38,0.0101991179643273,NGC3893,-0.4869506780589423,0.6623390155734739,0.16233901557347385,0.04970294131098707,0.04970294131098718
UGC11914,0.899446408763481,48,31.0,10.881926701382376,2.44,0.888,2.44,-0.8263667598453852,UGC11914,-1.3235165595929916,0.899446408763481,0.39944640876348103,0.26366930031781965,0.2636693003178199
NGC4214,0.480769880539163,9,15.0,9.085247753326724,0.51,0.486,0.51,0.2714942473484389,NGC4214,-0.2256539556277131,0.480769880539163,-0.019230119460837025,-0.022603338157652197,-0.022603338157651975
UGC05716,0.7100465963877222,5,54.0,9.24279477565362,1.14,1.094,1.14,-0.0747927148509061,UGC05716,-0.571942253369667,0.7100465963877222,0.21004659638772216,0.19506315729120594,0.19506315729120616
NGC0801,0.702335078217874,8,80.0,11.27217203232174,8.72,23.201,8.72,-0.5155262714994406,NGC0801,-1.0126761384820593,0.702335078217874,0.202335078217874,0.0377993538666751,0.037799353866675434
NGC2683,0.7079931289219116,9,80.0,10.624049722237272,2.18,1.406,2.18,-0.5289277579096391,NGC2683,-1.0260775392195385,0.7079931289219116,0.20799312892191157,0.09121992495926545,0.09121992495926556
NGC5985,0.7280078187916912,9,60.0,11.078360305501224,7.01,11.586,7.01,-0.6275025206081624,NGC5985,-1.1246523844644127,0.7280078187916912,0.22800781879169119,0.0777547944953616,0.07775479449536193
NGC3741,0.2164339345138334,17,70.0,8.408341741154654,0.2,0.182,0.2,0.6580005394307794,NGC3741,0.1608615239629785,0.2164339345138334,-0.2835660654861666,-0.23705558676283153,-0.23705558676283134
NGC2915,0.4384987010512248,27,56.0,8.998320379542864,0.55,0.508,0.55,0.2251368976135669,NGC2915,-0.2720115393987024,0.4384987010512248,-0.06150129894877521,-0.05846851927448987,-0.058468519274489705
NGC4183,0.4833255226801524,10,82.0,10.003545831576814,2.79,3.506,2.79,-0.3463965505819261,NGC4183,-0.8435463674835528,0.4833255226801524,-0.016674477319847614,-0.08772046395374,-0.08772046395373978
NGC1003,0.4267170753271982,29,67.0,10.050395225068138,1.61,5.88,1.61,0.3557254064670518,NGC1003,-0.1414242986816948,0.4267170753271982,-0.07328292467280179,-0.1477814156828035,-0.1477814156828034
IC4202,0.7638853837841865,25,90.0,11.02640283402812,4.78,12.326,4.78,-0.2680336488372347,IC4202,-0.765183502523715,0.7638853837841865,0.26388538378418647,0.11746129694604812,0.11746129694604823
UGC09133,0.6989991513722422,60,53.0,11.269331343142351,6.97,33.428,6.97,-0.1623551716404963,UGC09133,-0.6595050353950166,0.6989991513722422,0.19899915137224222,0.034672767870350674,0.034672767870350896
UGC07603,0.4375538886817635,5,78.0,8.725209009242763,0.53,0.258,0.53,-0.0369335793177671,UGC07603,-0.5340819059324818,0.4375538886817635,-0.06244611131823652,-0.03928674876084676,-0.03928674876084659
NGC6015,0.4954863520692256,24,60.0,10.377009576178352,2.3,5.834,2.3,0.0425106706532803,NGC6015,-0.4546391199436057,0.4954863520692256,-0.0045136479307744115,-0.10308155355799925,-0.10308155355799903
NGC2403,0.498515574903987,33,63.0,9.967321878328628,1.39,3.199,1.39,0.2189844147975051,NGC2403,-0.2781652331182169,0.498515574903987,-0.0014844250960129868,-0.06986093518412051,-0.06986093518412029
NGC5005,0.7592414121692368,13,68.0,10.959339092194677,9.45,1.28,9.45,-1.8436536522338407,NGC5005,-2.3408035200647914,0.7592414121692368,0.2592414121692368,0.11775949949608755,0.11775949949608766
UGC11455,0.4350380633047244,8,90.0,11.311534645914245,5.93,13.335,5.93,-0.4211163790528566,UGC11455,-0.918266239396764,0.4350380633047244,-0.06496193669527561,-0.2323984370342871,-0.23239843703428698
ESO563-G021,0.4523231909630425,12,83.0,11.273937966679668,5.45,24.298,5.45,-0.087222491449298,ESO563-G021,-0.584372349521953,0.4523231909630425,-0.04767680903695748,-0.212342671595811,-0.21234267159581077
NGC3726,0.2751838067410628,5,53.0,10.64074064433905,3.4,6.473,3.4,-0.2518522646353049,NGC3726,-0.7490020997607136,0.2751838067410628,-0.2248161932589372,-0.34281941275227235,-0.34281941275227223
NGC6674,0.6563042848323953,13,54.0,11.176399354063552,6.04,32.165,6.04,-0.0546903334103566,NGC6674,-0.5518401942000106,0.6563042848323953,0.15630428483239533,-0.0011735980793122769,-0.0011735980793119438
UGC02916,0.7178376617496652,30,50.0,10.968621106938608,6.15,23.273,6.15,-0.2108978735210066,UGC02916,-0.7080477347327034,0.7178376617496652,0.21783766174966523,0.07567172321973581,0.07567172321973592
DDO161,0.4506178042830648,8,70.0,9.32361094114549,1.22,1.378,1.22,-0.0334707355639254,DDO161,-0.5306203164720233,0.4506178042830648,-0.049382195716935195,-0.0703212757348804,-0.07032127573488028
NGC7814,0.6460908752932032,17,90.0,10.587571788933293,2.54,1.07,2.54,-0.7802837228704406,NGC7814,-1.2774335282488003,0.6460908752932032,0.1460908752932032,0.032005864602188905,0.03200586460218913
NGC1090,0.6312573046461257,16,64.0,10.678553794902832,3.53,8.783,3.53,-0.151906562876092,NGC1090,-0.6490564007176499,0.6312573046461257,0.13125730464612573,0.010467494803011124,0.010467494803011457
NGC5371,0.8112030768864744,16,53.0,11.267326403592811,7.44,11.18,7.44,-0.6947040753871747,NGC5371,-1.1918539402354869,0.8112030768864744,0.3112030768864744,0.14702444476518295,0.14702444476518317
NGC4157,0.491342859794073,11,82.0,10.804484140316246,2.32,8.226,2.32,0.1842126547034777,NGC4157,-0.3129371373027768,0.491342859794073,-0.008657140205927005,-0.13872722106696367,-0.13872722106696345
D631-7,0.3062379104563228,7,59.0,8.684576087388455,0.7,0.29,0.7,-0.2277989684439223,D631-7,-0.7249479548236913,0.3062379104563228,-0.19376208954367719,-0.16760833730348224,-0.16760833730348207
NGC3521,0.6017950598054636,23,75.0,10.68072357568052,2.4,4.154,2.4,-0.1419560666224727,NGC3521,-0.6391058639182656,0.6017950598054636,0.10179505980546355,-0.01915464917554588,-0.019154649175545768
NGC2903,0.6482529622002854,30,66.0,10.646655210876997,2.33,2.552,2.33,-0.3278312519996791,NGC2903,-0.824981044697047,0.6482529622002854,0.1482529622002854,0.02981387651246392,0.029813876512464255
NGC2955,0.7368502676406089,13,56.0,11.297132507204276,18.76,28.949,18.76,-1.084832103052254,NGC2955,-1.5819819745123778,0.7368502676406089,0.2368502676406089,0.07047511395341066,0.07047511395341077
UGC02953,0.669133814865848,93,50.0,11.14603725864499,3.55,7.678,3.55,-0.2152086327897791,UGC02953,-0.7123584710229359,0.669133814865848,0.169133814865848,0.013893426604308146,0.013893426604308257
UGC06983,0.7764096699425806,11,49.0,9.819222043551012,3.21,2.967,3.21,-0.5406925606406359,UGC06983,-1.0378423911870365,0.7764096699425806,0.27640966994258065,0.21894718220495402,0.21894718220495424
